,date,wet_hours,binary(1+),binary(2+),binary(3+)
0,2016-04-01,1,0,0,0
1,2016-04-02,3,1,1,0
2,2016-04-03,1,0,0,0
3,2016-04-04,10,1,1,1
4,2016-04-05,0,0,0,0
5,2016-04-06,0,0,0,0
6,2016-04-07,1,0,0,0
7,2016-04-08,0,0,0,0
8,2016-04-09,4,1,1,1
9,2016-04-10,0,0,0,0
10,2016-04-11,2,1,0,0
11,2016-04-12,5,1,1,1
12,2016-04-13,0,0,0,0
13,2016-04-14,0,0,0,0
14,2016-04-15,0,0,0,0
15,2016-04-16,0,0,0,0
16,2016-04-17,0,0,0,0
17,2016-04-18,0,0,0,0
18,2016-04-19,0,0,0,0
19,2016-04-20,0,0,0,0
20,2016-04-21,0,0,0,0
21,2016-04-22,0,0,0,0
22,2016-04-23,7,1,1,1
23,2016-04-24,0,0,0,0
24,2016-04-25,0,0,0,0
25,2016-04-26,3,1,1,0
26,2016-04-27,0,0,0,0
27,2016-04-28,0,0,0,0
28,2016-04-29,2,1,0,0
29,2016-04-30,0,0,0,0
30,2017-04-01,0,0,0,0
31,2017-04-02,0,0,0,0
32,2017-04-03,1,0,0,0
33,2017-04-04,6,1,1,1
34,2017-04-05,0,0,0,0
35,2017-04-06,6,1,1,1
36,2017-04-07,0,0,0,0
37,2017-04-08,0,0,0,0
38,2017-04-09,0,0,0,0
39,2017-04-10,0,0,0,0
40,2017-04-11,0,0,0,0
41,2017-04-12,2,1,0,0
42,2017-04-13,0,0,0,0
43,2017-04-14,0,0,0,0
44,2017-04-15,0,0,0,0
45,2017-04-16,1,0,0,0
46,2017-04-17,0,0,0,0
47,2017-04-18,0,0,0,0
48,2017-04-19,0,0,0,0
49,2017-04-20,3,1,1,0
50,2017-04-21,3,1,1,0
51,2017-04-22,5,1,1,1
52,2017-04-23,0,0,0,0
53,2017-04-24,0,0,0,0
54,2017-04-25,10,1,1,1
55,2017-04-26,6,1,1,1
56,2017-04-27,0,0,0,0
57,2017-04-28,1,0,0,0
58,2017-04-29,2,1,0,0
59,2017-04-30,0,0,0,0
